id,name,descr,aliases
WMPID5,George Bush,George Bush is a former U.S. president.,George Bush|Bush|George Bush's|Bush's|GEORGE BUSH|BUSH|GEORGE BUSH'S|BUSH'S
WMPID475,George Anthony Devolder-Santos,George Anthony Devolder-Santos is a Republican candidate for the 3rd District of New York.,George Anthony Devolder-Santos|Devolder-Santos|George Devolder-Santos|George Anthony Devolder-Santos'|Devolder-Santos'|George Devolder-Santos'|GEORGE ANTHONY DEVOLDER-SANTOS|DEVOLDER-SANTOS|GEORGE DEVOLDER-SANTOS|GEORGE ANTHONY DEVOLDER-SANTOS'|DEVOLDER-SANTOS'|GEORGE DEVOLDER-SANTOS'
WMPID5191,George H. W. Bush,George H. W. Bush is a former U.S. president.,George H. W. Bush|Bush|George Bush|George H. W. Bush's|Bush's|George Bush's|GEORGE H. W. BUSH|BUSH|GEORGE BUSH|GEORGE H. W. BUSH'S|BUSH'S|GEORGE BUSH'S
WMPID3733,George II Litchfield II,George II Litchfield II is a 3rd party candidate for the 1st District of Georgia.,George II Litchfield II|Litchfield|George Litchfield|George II Litchfield II's|Litchfield's|George Litchfield's|GEORGE II LITCHFIELD II|LITCHFIELD|GEORGE LITCHFIELD|GEORGE II LITCHFIELD II'S|LITCHFIELD'S|GEORGE LITCHFIELD'S
WMPID2077,George Jr. Flinn,George Jr. Flinn is a 3rd party candidate for the 9th District of Tennessee.,George Jr. Flinn|Flinn|George Flinn|George Jr. Flinn's|Flinn's|George Flinn's|GEORGE JR. FLINN|FLINN|GEORGE FLINN|GEORGE JR. FLINN'S|FLINN'S|GEORGE FLINN'S
WMPID3010,George Kellogg,George Kellogg is a 3rd party candidate for the 7th District of Wisconsin.,George Kellogg|Kellogg|George Kellogg's|Kellogg's|GEORGE KELLOGG|KELLOGG|GEORGE KELLOGG'S|KELLOGG'S
WMPID1668,George Logan,George Logan is a Republican candidate for the 5th District of Connecticut.,George Logan|Logan|George Logan's|Logan's|GEORGE LOGAN|LOGAN|GEORGE LOGAN'S|LOGAN'S
WMPID5206,George Washington,George Washington is a former U.S. president.,George Washington|Washington|George Washington's|Washington's|GEORGE WASHINGTON|WASHINGTON|GEORGE WASHINGTON'S|WASHINGTON'S
WMPID4987,George Zsidisin,George Zsidisin is a 3rd party candidate for the 1st District of Missouri.,George Zsidisin|Zsidisin|George Zsidisin's|Zsidisin's|GEORGE ZSIDISIN|ZSIDISIN|GEORGE ZSIDISIN'S|ZSIDISIN'S
WMPID4168,Gerald Malloy,Gerald Malloy is a Republican Senate candidate in Vermont.,Gerald Malloy|Malloy|Gerald Malloy's|Malloy's|GERALD MALLOY|MALLOY|GERALD MALLOY'S|MALLOY'S
WMPID5197,Gerald R. Ford,Gerald R. Ford is a former U.S. president.,Gerald R. Ford|Ford|Gerald Ford|Gerald R. Ford's|Ford's|Gerald Ford's|GERALD R. FORD|FORD|GERALD FORD|GERALD R. FORD'S|FORD'S|GERALD FORD'S
WMPID1271,Gerry Connolly,Gerry Connolly is a Democratic candidate for the 11th District of Virginia.,Gerry Connolly|Connolly|Gerry Connolly's|Connolly's|GERRY CONNOLLY|CONNOLLY|GERRY CONNOLLY'S|CONNOLLY'S
WMPID5198,Gina Raimondo,Gina Raimondo is a cabinet member.,Gina Raimondo|Raimondo|Gina Raimondo's|Raimondo's|GINA RAIMONDO|RAIMONDO|GINA RAIMONDO'S|RAIMONDO'S
WMPID5188,Giorgia Meloni,Giorgia Meloni is an international leader.,Giorgia Meloni|Meloni|Giorgia Meloni's|Meloni's|GIORGIA MELONI|MELONI|GIORGIA MELONI'S|MELONI'S
WMPID2518,Glenn Ivey,Glenn Ivey is a Democratic candidate for the 4th District of Maryland.,Glenn Ivey|Ivey|Glenn Ivey's|Ivey's|GLENN IVEY|IVEY|GLENN IVEY'S|IVEY'S
WMPID941,Glenn S Grothman,Glenn S Grothman is a Republican candidate for the 6th District of Wisconsin.,Glenn S Grothman|Grothman|Glenn Grothman|Glenn S Grothman's|Grothman's|Glenn Grothman's|GLENN S GROTHMAN|GROTHMAN|GLENN GROTHMAN|GLENN S GROTHMAN'S|GROTHMAN'S|GLENN GROTHMAN'S
WMPID1218,Glenn Thompson,Glenn Thompson is a Republican candidate for the 15th District of Pennsylvania.,Glenn Thompson|Thompson|Glenn Thompson's|Thompson's|GLENN THOMPSON|THOMPSON|GLENN THOMPSON'S|THOMPSON'S
WMPID4250,Glenn Wright,Glenn Wright is a Democratic candidate for the 3rd District of Utah.,Glenn Wright|Wright|Glenn Wright's|Wright's|GLENN WRIGHT|WRIGHT|GLENN WRIGHT'S|WRIGHT'S
WMPID821,Grace Meng,Grace Meng is a Democratic candidate for the 6th District of New York.,Grace Meng|Meng|Grace Meng's|Meng's|GRACE MENG|MENG|GRACE MENG'S|MENG'S
WMPID1064,Grace Napolitano,Grace Napolitano is a Democratic candidate for the 31st District of California.,Grace Napolitano|Napolitano|Grace Napolitano's|Napolitano's|GRACE NAPOLITANO|NAPOLITANO|GRACE NAPOLITANO'S|NAPOLITANO'S
WMPID1974,Grant Smith Ellis,Grant Smith Ellis is a Democratic candidate for the 9th District of Massachusetts.,Grant Smith Ellis|Ellis|Grant Ellis|Grant Smith Ellis'|Ellis'|Grant Ellis'|GRANT SMITH ELLIS|ELLIS|GRANT ELLIS|GRANT SMITH ELLIS'|ELLIS'|GRANT ELLIS'
