ad_id,combined_entities
x_1269843633803489,"['WMPID1735', 'WMPID5206', 'WMPID3578']"
x_1270135980225715,['WMPID2873']
x_1270923473732819,"['WMPID1321', 'WMPID787']"
x_1271223683676448,[]
x_1271492800358549,"['WMPID2065', 'WMPID1217', 'WMPID1220']"
x_1271908600301962,"['WMPID1029', 'WMPID1289', 'WMPID1290']"
x_1272210850209314,['WMPID3569']
x_1272382823554820,[]
x_1272767856879128,"['WMPID1003', 'WMPID1290']"
x_1273224876553635,['WMPID5331']
x_1273371433424070,"['WMPID5206', 'WMPID2445']"
x_1275206996597621,['WMPID2308']
x_1275601539648046,"['WMPID1370', 'WMPID5228']"
x_1276397179601656,['WMPID1222']
x_1276528623164646,['WMPID5270']
x_1276744783072789,"['WMPID1450', 'WMPID4650']"
x_1277061853074383,[]
x_1277092766390837,"['WMPID5271', 'WMPID4511']"
x_1277175353050221,['WMPID3408']
x_1277435833091022,"['WMPID5337', 'WMPID2065']"
x_1277444523090742,[]
x_1277890769674452,"['WMPID4511', 'WMPID4351', 'WMPID1290']"
x_1278356639642733,['WMPID5228']
x_1279982399419734,"['WMPID3569', 'WMPID979', 'WMPID753']"
x_1280618499376883,"['WMPID1547', 'WMPID1052']"
x_1280751742465954,[]
x_1280825996035988,['WMPID5281']
x_1281393845959089,[]
x_1281777585966243,[]
x_1282139712611042,[]
x_1282853515622085,[]
x_1283248695776915,"['WMPID1187', 'WMPID5206']"
x_1283273525756214,[]
x_1284211402362987,['WMPID1223']
x_1284277642347498,[]
x_1284419479018874,"['WMPID3606', 'WMPID1052']"
x_1285045145635707,[]
x_1285414205592750,['WMPID2065']
x_1286666635431920,['WMPID844']
x_1286863542078405,['WMPID5324']
x_1287791355356601,[]
x_1287911165358550,"['WMPID3217', 'WMPID864']"
x_1287980965368609,['WMPID3358']
x_1288828871930983,['WMPID1193']
x_1289025095175593,[]
x_1289107318491021,[]
x_1289182338550953,['WMPID5332']
x_1289964275156560,[]
x_1290878514991410,['WMPID5337']
x_1291145274959246,"['WMPID1302', 'WMPID799']"
x_1292368804893899,['WMPID1330']
x_1292692324800767,"['WMPID5206', 'WMPID1289', 'WMPID758']"
x_1292703191479769,"['WMPID4511', 'WMPID969']"
x_1293227798136355,"['WMPID1467', 'WMPID1290']"
x_1293291144756319,['WMPID5335']
x_1293361164751849,[]
x_1293505851400436,['WMPID1606']
x_1294452054624773,['WMPID3328']
x_1294523971394252,[]
x_1295099911031445,[]
x_1295572597869792,[]
x_1296374661176674,"['WMPID1188', 'WMPID5332']"
x_1297271511021311,[]
x_1297586451012483,['WMPID1505']
x_1298916974257369,[]
x_1299934914175649,[]
x_1300498974050819,"['WMPID228', 'WMPID800']"
x_1301065980639069,"['WMPID5281', 'WMPID5323']"
x_1302762077226524,"['WMPID3907', 'WMPID1302']"
x_1302985533783602,['WMPID1093']
x_1304491230089423,"['WMPID5296', 'WMPID5328']"
x_1305589226856383,[]
x_1305590706918094,['WMPID489']
x_1306199750189439,['WMPID2065']
x_1306860393386485,['WMPID5206']
x_1306912659837319,[]
x_1307238290117832,[]
x_1307496739992004,['WMPID2065']
x_1307973359984468,"['WMPID3328', 'WMPID2814', 'WMPID3217']"
x_1308019689943300,"['WMPID1289', 'WMPID3196']"
x_1308159106588900,[]
x_1308635689895822,['WMPID1100']
x_1308791013221930,"['WMPID5328', 'WMPID1290', 'WMPID4064']"
x_1309364173146362,[]
x_1309715403168518,"['WMPID1321', 'WMPID787']"
x_1312266446194073,['WMPID1193']
x_1312382652832241,['WMPID1504']
x_1313166602766888,[]
x_1313546149388530,['WMPID746']
x_1313729286031624,[]
x_1314077179130532,[]
x_1314885102654400,['WMPID787']
x_1315963615806598,[]
x_1316589879150762,['WMPID1450']
x_1316825202394825,[]
x_1316851682473838,['WMPID5305']
x_1317306892372264,['WMPID3907']
x_1317428962395251,[]
x_1317624461977295,[]
x_1318201878985267,[]
x_1319984492096127,"['WMPID1790', 'WMPID2065']"
x_1320143645397425,[]
x_1321032305313747,"['WMPID233', 'WMPID5206', 'WMPID2319']"
x_1322564185247287,[]
x_1322589148275288,[]
x_1324275611711907,[]
x_1326644428103247,['WMPID5206']
x_1327444997994212,"['WMPID4035', 'WMPID788']"
x_1327609304643290,['WMPID3923']
x_1328781077865177,"['WMPID1516', 'WMPID5206']"
x_1331403387686239,[]
x_1331724220898409,[]
x_1332824690856317,['WMPID1270']
x_1334480240664853,"['WMPID3606', 'WMPID5206']"
x_1335277337216376,[]
x_1337697987056128,[]
x_1337938273681338,"['WMPID3217', 'WMPID3328']"
x_1337995103623025,['WMPID5206']
x_1338385533361081,[]
x_1338915873522736,"['WMPID2001', 'WMPID1187']"
x_1344417369297619,['WMPID4659']
x_1345597695975407,['WMPID5328']
x_1346737539195103,"['WMPID1023', 'WMPID906']"
x_1347149579448830,['WMPID2166']
